scope,condition,reported_game,mtime,characters,roles,internal_game_ids,canonical_support,matches_reported_game,likely_actual_game,status,file,error
BIG,analysis_only,13,2026-06-29T02:13:58,ベンジャミン / ミヅキ / ミドリ / ミナコ / リン,ベンジャミン:POSSESSED / ミヅキ:VILLAGER / ミドリ:SEER / ミナコ:VILLAGER / リン:WEREWOLF,01KW7KD9CEPKDM50K10EQYKKN4,11,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g13_1782666667_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,14,2026-06-29T02:18:02,シュンイチ / ジョージ / ミオ / ミヅキ / ユミ,シュンイチ:VILLAGER / ジョージ:POSSESSED / ミオ:SEER / ミヅキ:WEREWOLF / ユミ:VILLAGER,01KW7KK1KZY9DZPXZCV7GK7X4N,12,yes,14,OK,results/run_en_cond_big/aiwolf/analysis_only/g14_1782666856_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,15,2026-06-29T02:22:18,ミオ / ミナコ / ミナト / ユミ / リュウジ,ミオ:POSSESSED / ミナコ:VILLAGER / ミナト:VILLAGER / ユミ:SEER / リュウジ:WEREWOLF,01KW7KTJD2PE92EW2NTKK9MBAT,13,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g15_1782667102_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,15,2026-06-29T02:22:20,シズエ / シュンイチ / ジョージ / セルヴァス / ミナコ,シズエ:VILLAGER / シュンイチ:VILLAGER / ジョージ:WEREWOLF / セルヴァス:SEER / ミナコ:POSSESSED,01KW7KTENACG73PH6CAG9THJJA,13,yes,15,OK,results/run_en_cond_big/aiwolf/analysis_only/g15_1782667098_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,16,2026-06-29T02:26:42,ケンジ / シズエ / ミナコ / ミナト / メイ,ケンジ:VILLAGER / シズエ:POSSESSED / ミナコ:WEREWOLF / ミナト:SEER / メイ:VILLAGER,01KW7M2C3W4E0V7S5YR087JMAB,15,yes,16,OK,results/run_en_cond_big/aiwolf/analysis_only/g16_1782667358_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,17,2026-06-29T02:29:47,サクラ / トシオ / ミナコ / リュウジ / リン,サクラ:POSSESSED / トシオ:WEREWOLF / ミナコ:VILLAGER / リュウジ:SEER / リン:VILLAGER,01KW7MAFAJXPSWST54C3HJC294,13,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g17_1782667623_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,18,2026-06-29T02:34:24,シュンイチ / ミヅキ / ミドリ / ミナト / ユミ,シュンイチ:VILLAGER / ミヅキ:VILLAGER / ミドリ:POSSESSED / ミナト:WEREWOLF / ユミ:SEER,01KW7MG56K38ZPGKP0A43RF1MS,13,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g18_1782667810_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,19,2026-06-29T02:37:42,シズエ / シュンイチ / ジョナサン / セルヴァス / メイ,シズエ:VILLAGER / シュンイチ:VILLAGER / ジョナサン:POSSESSED / セルヴァス:SEER / メイ:WEREWOLF,01KW7MRFCN7JH5CC04XCEDDZJS,14,yes,19,OK,results/run_en_cond_big/aiwolf/analysis_only/g19_1782668082_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,20,2026-06-29T02:40:27,セルヴァス / ベンジャミン / ミサキ / ミナコ / ユミ,セルヴァス:POSSESSED / ベンジャミン:SEER / ミサキ:WEREWOLF / ミナコ:VILLAGER / ユミ:VILLAGER,01KW7MYF8HAQ16ADCY4B68HYGE,15,yes,20,OK,results/run_en_cond_big/aiwolf/analysis_only/g20_1782668279_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,21,2026-06-29T02:43:33,アスカ / トシオ / ミヅキ / ミナト / ユミ,アスカ:VILLAGER / トシオ:SEER / ミヅキ:WEREWOLF / ミナト:VILLAGER / ユミ:POSSESSED,01KW7N3JVQK0QMXDJ9PJN8P461,12,yes,21,OK,results/run_en_cond_big/aiwolf/analysis_only/g21_1782668446_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,22,2026-06-29T02:47:37,アスカ / ケンジ / サクラ / ミサキ / ヴィクトリア,アスカ:SEER / ケンジ:WEREWOLF / サクラ:VILLAGER / ミサキ:VILLAGER / ヴィクトリア:POSSESSED,01KW7N9AR1WT5H849GB9KG9SH8,13,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g22_1782668634_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,23,2026-06-29T02:51:58,タクミ / トシオ / ミオ / リュウジ / リン,タクミ:VILLAGER / トシオ:VILLAGER / ミオ:POSSESSED / リュウジ:WEREWOLF / リン:SEER,01KW7NGRQ11AQBDDD4JYC1N112,11,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g23_1782668878_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,24,2026-06-29T02:55:14,ケンジ / シオン / ミオ / ミサキ / メイ,ケンジ:POSSESSED / シオン:VILLAGER / ミオ:SEER / ミサキ:VILLAGER / メイ:WEREWOLF,01KW7NRNS6CEWVBE6VBHRXH25C,14,yes,24,OK,results/run_en_cond_big/aiwolf/analysis_only/g24_1782669137_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,25,2026-06-29T02:59:12,アスカ / ケンジ / ダイスケ / ミサキ / ユミ,アスカ:POSSESSED / ケンジ:WEREWOLF / ダイスケ:SEER / ミサキ:VILLAGER / ユミ:VILLAGER,01KW7NYMNV8B1BWXWVAEWD68PF,14,yes,25,OK,results/run_en_cond_big/aiwolf/analysis_only/g25_1782669333_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,26,2026-06-29T03:03:26,シュンイチ / ジョナサン / トシオ / ベンジャミン / ミサキ,シュンイチ:VILLAGER / ジョナサン:SEER / トシオ:VILLAGER / ベンジャミン:POSSESSED / ミサキ:WEREWOLF,01KW7P60K6XS5JAY8QRSZST1EF,11,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g26_1782669574_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,27,2026-06-29T03:07:44,アスカ / サクラ / ミヅキ / ミドリ / ヴィクトリア,アスカ:VILLAGER / サクラ:VILLAGER / ミヅキ:POSSESSED / ミドリ:WEREWOLF / ヴィクトリア:SEER,01KW7PDM4Q5Z4AYPD8B8D8CSW8,15,yes,27,OK,results/run_en_cond_big/aiwolf/analysis_only/g27_1782669824_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,28,2026-06-29T03:11:03,サクラ / シオン / ダイスケ / ミオ / ユミ,サクラ:POSSESSED / シオン:VILLAGER / ダイスケ:WEREWOLF / ミオ:VILLAGER / ユミ:SEER,01KW7PNJ7V418ZNWFCS145EXX8,12,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g28_1782670084_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,29,2026-06-29T03:14:16,サクラ / シズエ / ジョナサン / ミサキ / メイ,サクラ:VILLAGER / シズエ:VILLAGER / ジョナサン:SEER / ミサキ:WEREWOLF / メイ:POSSESSED,01KW7PVH9BGH99WBDY0EH0TWHS,12,yes,29,OK,results/run_en_cond_big/aiwolf/analysis_only/g29_1782670279_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,30,2026-06-29T03:17:24,サクラ / ジョージ / ユミ / リュウジ / リン,サクラ:POSSESSED / ジョージ:WEREWOLF / ユミ:VILLAGER / リュウジ:SEER / リン:VILLAGER,01KW7Q1G0J8JT0ZYXBEP8X7HK5,10,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g30_1782670475_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,31,2026-06-29T03:21:25,シュンイチ / ダイスケ / ミナト / リュウジ / リン,シュンイチ:VILLAGER / ダイスケ:SEER / ミナト:VILLAGER / リュウジ:WEREWOLF / リン:POSSESSED,01KW7Q75D8JAR5EH75Q0NREK51,15,yes,31,OK,results/run_en_cond_big/aiwolf/analysis_only/g31_1782670661_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,32,2026-06-29T03:25:23,シズエ / ジョージ / ベンジャミン / ミヅキ / ミナコ,シズエ:VILLAGER / ジョージ:POSSESSED / ベンジャミン:WEREWOLF / ミヅキ:VILLAGER / ミナコ:SEER,01KW7QEJ6MXNEW5Y8857A61AE8,15,yes,32,OK,results/run_en_cond_big/aiwolf/analysis_only/g32_1782670903_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,33,2026-06-29T03:29:35,ミサキ / ミヅキ / ユミ / リュウジ / ヴィクトリア,ミサキ:VILLAGER / ミヅキ:SEER / ユミ:VILLAGER / リュウジ:WEREWOLF / ヴィクトリア:POSSESSED,01KW7QNXSHS3S4CD04S2PXSZ71,10,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g33_1782671144_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,34,2026-06-29T03:33:46,アスカ / シオン / ジョナサン / ミサキ / メイ,アスカ:POSSESSED / シオン:VILLAGER / ジョナサン:WEREWOLF / ミサキ:VILLAGER / メイ:SEER,01KW7QXJQKJJ6SZWF1FMA6HD8P,14,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g34_1782671395_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,35,2026-06-29T03:36:41,ダイスケ / ミオ / ユミ / リュウジ / ヴィクトリア,ダイスケ:VILLAGER / ミオ:POSSESSED / ユミ:SEER / リュウジ:VILLAGER / ヴィクトリア:WEREWOLF,01KW7R584V0D05NP6PKHN4S3YY,14,yes,35,OK,results/run_en_cond_big/aiwolf/analysis_only/g35_1782671646_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,36,2026-06-29T03:40:53,ケンジ / セルヴァス / メイ / リュウジ / ヴィクトリア,ケンジ:WEREWOLF / セルヴァス:POSSESSED / メイ:SEER / リュウジ:VILLAGER / ヴィクトリア:VILLAGER,01KW7RAHZ6ZWE9FYYS0ZSC3ETR,14,yes,36,OK,results/run_en_cond_big/aiwolf/analysis_only/g36_1782671820_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,37,2026-06-29T03:44:18,ケンジ / サクラ / ミオ / ミドリ / リン,ケンジ:POSSESSED / サクラ:VILLAGER / ミオ:VILLAGER / ミドリ:SEER / リン:WEREWOLF,01KW7RJ8VM9F17AWDZQQ76JC00,13,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g37_1782672073_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,38,2026-06-29T03:48:17,アスカ / ジョナサン / ミドリ / ミナト / リュウジ,アスカ:WEREWOLF / ジョナサン:POSSESSED / ミドリ:VILLAGER / ミナト:SEER / リュウジ:VILLAGER,01KW7RRH493N9VFY2Z5Q33T1BN,12,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g38_1782672278_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,39,2026-06-29T03:51:38,サクラ / ジョナサン / タクミ / ミヅキ / ミドリ,サクラ:POSSESSED / ジョナサン:WEREWOLF / タクミ:VILLAGER / ミヅキ:VILLAGER / ミドリ:SEER,01KW7RZQNSRFJEWQZXJFRC5M3G,14,yes,39,OK,results/run_en_cond_big/aiwolf/analysis_only/g39_1782672514_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,40,2026-06-29T03:54:53,シュンイチ / ベンジャミン / ミオ / ユミ / リン,シュンイチ:WEREWOLF / ベンジャミン:SEER / ミオ:VILLAGER / ユミ:POSSESSED / リン:VILLAGER,01KW7S5YTAH9S3W5DZ8HETHSY3,11,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g40_1782672718_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,41,2026-06-29T03:58:01,シズエ / ダイスケ / トシオ / ミナコ / リン,シズエ:VILLAGER / ダイスケ:WEREWOLF / トシオ:SEER / ミナコ:POSSESSED / リン:VILLAGER,01KW7SBWJC0Q880N7PSK0RJSFW,11,yes,41,OK,results/run_en_cond_big/aiwolf/analysis_only/g41_1782672912_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,42,2026-06-29T04:01:27,ケンジ / サクラ / ミドリ / ユミ / ヴィクトリア,ケンジ:SEER / サクラ:VILLAGER / ミドリ:VILLAGER / ユミ:POSSESSED / ヴィクトリア:WEREWOLF,01KW7SHQHZ6575TW4XD1V4X06K,12,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g42_1782673104_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,43,2026-06-29T04:05:38,アスカ / トシオ / ミヅキ / メイ / リン,アスカ:WEREWOLF / トシオ:SEER / ミヅキ:POSSESSED / メイ:VILLAGER / リン:VILLAGER,01KW7SQX449RDHHJWCZS6A5K0X,11,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g43_1782673306_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,44,2026-06-29T04:08:54,ケンジ / サクラ / ジョージ / メイ / ユミ,ケンジ:SEER / サクラ:VILLAGER / ジョージ:WEREWOLF / メイ:POSSESSED / ユミ:VILLAGER,01KW7SZKADKN8HNBKA2H3FETAR,12,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g44_1782673558_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,45,2026-06-29T04:12:20,アスカ / ケンジ / タクミ / ミオ / メイ,アスカ:WEREWOLF / ケンジ:SEER / タクミ:VILLAGER / ミオ:VILLAGER / メイ:POSSESSED,01KW7T5HSSRJ18FX5YMW2AWGG8,12,yes,45,OK,results/run_en_cond_big/aiwolf/analysis_only/g45_1782673753_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,46,2026-06-29T04:16:18,セルヴァス / ベンジャミン / ミオ / ミヅキ / ミナコ,セルヴァス:SEER / ベンジャミン:POSSESSED / ミオ:VILLAGER / ミヅキ:WEREWOLF / ミナコ:VILLAGER,01KW7TBRPRXY7YQ2KW9WB5GC5V,15,yes,46,OK,results/run_en_cond_big/aiwolf/analysis_only/g46_1782673957_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,47,2026-06-29T04:19:41,ケンジ / シズエ / シュンイチ / ミヅキ / ミナコ,ケンジ:POSSESSED / シズエ:VILLAGER / シュンイチ:VILLAGER / ミヅキ:SEER / ミナコ:WEREWOLF,01KW7TK428XF0300QM3X54JW60,12,yes,47,OK,results/run_en_cond_big/aiwolf/analysis_only/g47_1782674198_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,48,2026-06-29T04:23:55,セルヴァス / ダイスケ / トシオ / ミドリ / ミナト,セルヴァス:VILLAGER / ダイスケ:SEER / トシオ:VILLAGER / ミドリ:WEREWOLF / ミナト:POSSESSED,01KW7TSCPXYP97PT83X4HFFFRV,13,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g48_1782674404_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,49,2026-06-29T04:27:06,シズエ / ジョナサン / ダイスケ / ミヅキ / ユミ,シズエ:WEREWOLF / ジョナサン:VILLAGER / ダイスケ:SEER / ミヅキ:VILLAGER / ユミ:POSSESSED,01KW7V1372F8V2PS9XXYK1DWRW,13,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g49_1782674656_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,50,2026-06-29T04:29:56,シュンイチ / ジョナサン / タクミ / ダイスケ / リュウジ,シュンイチ:WEREWOLF / ジョナサン:VILLAGER / タクミ:VILLAGER / ダイスケ:POSSESSED / リュウジ:SEER,01KW7V6VXVWK0NZWJT501D4R5V,11,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g50_1782674845_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,51,2026-06-29T04:33:47,アスカ / シュンイチ / セルヴァス / ミオ / ミナコ,アスカ:SEER / シュンイチ:POSSESSED / セルヴァス:VILLAGER / ミオ:VILLAGER / ミナコ:WEREWOLF,01KW7VC079HMSXTJ7V1G9QC9RJ,12,yes,51,OK,results/run_en_cond_big/aiwolf/analysis_only/g51_1782675013_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,52,2026-06-29T04:38:13,アスカ / ジョナサン / タクミ / ミドリ / ミナト,アスカ:VILLAGER / ジョナサン:POSSESSED / タクミ:VILLAGER / ミドリ:WEREWOLF / ミナト:SEER,01KW7VK1GHVZGG6G7GWHPKN45D,13,yes,52,OK,results/run_en_cond_big/aiwolf/analysis_only/g52_1782675244_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,53,2026-06-29T04:41:19,ケンジ / サクラ / セルヴァス / トシオ / リュウジ,ケンジ:POSSESSED / サクラ:WEREWOLF / セルヴァス:VILLAGER / トシオ:VILLAGER / リュウジ:SEER,01KW7VV9TQ5GZPVMW1Q0650EW6,10,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g53_1782675515_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,54,2026-06-29T04:44:45,サクラ / セルヴァス / ミヅキ / メイ / ユミ,サクラ:SEER / セルヴァス:POSSESSED / ミヅキ:WEREWOLF / メイ:VILLAGER / ユミ:VILLAGER,01KW7W0X42303MGVMAMF5C830Q,12,yes,54,OK,results/run_en_cond_big/aiwolf/analysis_only/g54_1782675698_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,55,2026-06-29T04:47:43,サクラ / ジョージ / タクミ / ダイスケ / ヴィクトリア,サクラ:VILLAGER / ジョージ:SEER / タクミ:WEREWOLF / ダイスケ:VILLAGER / ヴィクトリア:POSSESSED,01KW7W78G1KFRYWY5AFM2P59Z8,10,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g55_1782675907_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,56,2026-06-29T04:50:56,アスカ / ケンジ / ミヅキ / ミナト / リン,アスカ:VILLAGER / ケンジ:WEREWOLF / ミヅキ:SEER / ミナト:POSSESSED / リン:VILLAGER,01KW7WCMTK1QD0D8ASKQCFFA25,12,yes,56,OK,results/run_en_cond_big/aiwolf/analysis_only/g56_1782676083_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
BIG,analysis_only,57,2026-06-29T04:55:30,ジョナサン / セルヴァス / ミドリ / ミナト / リュウジ,ジョナサン:VILLAGER / セルヴァス:SEER / ミドリ:POSSESSED / ミナト:WEREWOLF / リュウジ:VILLAGER,01KW7WJJ9KT8Y6267C522R3YHZ,12,no,,UNKNOWN_ROSTER,results/run_en_cond_big/aiwolf/analysis_only/g57_1782676277_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent_discussion-bench-agent.json,
